WORKBOOK_NAME,PROJECT_NAME,DASHBOARD_NAME,DASHBOARD_PATH,DATASOURCE_NAME,TABLE_NAME
 Quality Report Test ,Product Dev,Quality Closed - Edcast,QualityReportTest/QualityClosed-Edcast,Add Comments (Snowflake - Quality Report Key Highlights),'ADD COMMENTS$'
Quality Report -old,Product Dev,Quality Closed - Edcast,QualityReport/QualityClosed-Edcast,Add Comments (Snowflake - Quality Report Key Highlights),'ADD COMMENTS$'
Test QR,Product Dev,Quality Closed - Edcast,TestQR/QualityClosed-Edcast,Add Comments (Snowflake - Quality Report Key Highlights),'ADD COMMENTS$'
 Quality Report,Product UAT,Quality Closed - SBX,QualityReport_16957305594310/QualityClosed-SBX,Add Comments (Snowflake - Quality Report Key Highlights),'ADD COMMENTS$'
 Quality Report (View Based),Product Dev,Quality Closed - SBX,QualityReportTest-Demo/QualityClosed-SBX,Add Comments (Snowflake - Quality Report Key Highlights),'ADD COMMENTS$'
 Quality Report (View Based) V1 ,Product Dev,Quality Closed - SBX,QualityReportViewBasedV1/QualityClosed-SBX,Add Comments (Snowflake - Quality Report Key Highlights),'ADD COMMENTS$'
 Quality Report Test ,Product Dev,Quality Closed - SBX,QualityReportTest/QualityClosed-SBX,Add Comments (Snowflake - Quality Report Key Highlights),'ADD COMMENTS$'
Quality Report -old,Product Dev,Quality Closed - SBX,QualityReport/QualityClosed-SBX,Add Comments (Snowflake - Quality Report Key Highlights),'ADD COMMENTS$'
Test QR,Product Dev,Quality Closed - SBX,TestQR/QualityClosed-SBX,Add Comments (Snowflake - Quality Report Key Highlights),'ADD COMMENTS$'
 Quality Report,Product UAT,Quality Incoming - BU,QualityReport_16957305594310/QualityIncoming-BU,Add Comments (Snowflake - Quality Report Key Highlights),'ADD COMMENTS$'
 Quality Report (View Based),Product Dev,Quality Incoming - BU,QualityReportTest-Demo/QualityIncoming-BU,Add Comments (Snowflake - Quality Report Key Highlights),'ADD COMMENTS$'
 Quality Report (View Based) V1 ,Product Dev,Quality Incoming - BU,QualityReportViewBasedV1/QualityIncoming-BU,Add Comments (Snowflake - Quality Report Key Highlights),'ADD COMMENTS$'
 Quality Report Test ,Product Dev,Quality Incoming - BU,QualityReportTest/QualityIncoming-BU,Add Comments (Snowflake - Quality Report Key Highlights),'ADD COMMENTS$'
Quality Report -old,Product Dev,Quality Incoming - BU,QualityReport/QualityIncoming-BU,Add Comments (Snowflake - Quality Report Key Highlights),'ADD COMMENTS$'
Test QR,Product Dev,Quality Incoming - BU,TestQR/QualityIncoming-BU,Add Comments (Snowflake - Quality Report Key Highlights),'ADD COMMENTS$'
 Quality Report,Product UAT,Quality Incoming - CSX,QualityReport_16957305594310/QualityIncoming-CSX,Add Comments (Snowflake - Quality Report Key Highlights),'ADD COMMENTS$'
 Quality Report (View Based),Product Dev,Quality Incoming - CSX,QualityReportTest-Demo/QualityIncoming-CSX,Add Comments (Snowflake - Quality Report Key Highlights),'ADD COMMENTS$'
 Quality Report (View Based) V1 ,Product Dev,Quality Incoming - CSX,QualityReportViewBasedV1/QualityIncoming-CSX,Add Comments (Snowflake - Quality Report Key Highlights),'ADD COMMENTS$'
 Quality Report Test ,Product Dev,Quality Incoming - CSX,QualityReportTest/QualityIncoming-CSX,Add Comments (Snowflake - Quality Report Key Highlights),'ADD COMMENTS$'
Quality Report -old,Product Dev,Quality Incoming - CSX,QualityReport/QualityIncoming-CSX,Add Comments (Snowflake - Quality Report Key Highlights),'ADD COMMENTS$'
Test QR,Product Dev,Quality Incoming - CSX,TestQR/QualityIncoming-CSX,Add Comments (Snowflake - Quality Report Key Highlights),'ADD COMMENTS$'
 Quality Report,Product UAT,Quality Incoming - Edcast,QualityReport_16957305594310/QualityIncoming-Edcast,Add Comments (Snowflake - Quality Report Key Highlights),'ADD COMMENTS$'
 Quality Report (View Based),Product Dev,Quality Incoming - Edcast,QualityReportTest-Demo/QualityIncoming-Edcast,Add Comments (Snowflake - Quality Report Key Highlights),'ADD COMMENTS$'
 Quality Report (View Based) V1 ,Product Dev,Quality Incoming - Edcast,QualityReportViewBasedV1/QualityIncoming-Edcast,Add Comments (Snowflake - Quality Report Key Highlights),'ADD COMMENTS$'
 Quality Report Test ,Product Dev,Quality Incoming - Edcast,QualityReportTest/QualityIncoming-Edcast,Add Comments (Snowflake - Quality Report Key Highlights),'ADD COMMENTS$'
Quality Report -old,Product Dev,Quality Incoming - Edcast,QualityReport/QualityIncoming-Edcast,Add Comments (Snowflake - Quality Report Key Highlights),'ADD COMMENTS$'
Test QR,Product Dev,Quality Incoming - Edcast,TestQR/QualityIncoming-Edcast,Add Comments (Snowflake - Quality Report Key Highlights),'ADD COMMENTS$'
 Quality Report,Product UAT,Quality Incoming - SBX,QualityReport_16957305594310/QualityIncoming-SBX,Add Comments (Snowflake - Quality Report Key Highlights),'ADD COMMENTS$'
 Quality Report (View Based),Product Dev,Quality Incoming - SBX,QualityReportTest-Demo/QualityIncoming-SBX,Add Comments (Snowflake - Quality Report Key Highlights),'ADD COMMENTS$'
 Quality Report (View Based) V1 ,Product Dev,Quality Incoming - SBX,QualityReportViewBasedV1/QualityIncoming-SBX,Add Comments (Snowflake - Quality Report Key Highlights),'ADD COMMENTS$'
 Quality Report Test ,Product Dev,Quality Incoming - SBX,QualityReportTest/QualityIncoming-SBX,Add Comments (Snowflake - Quality Report Key Highlights),'ADD COMMENTS$'
Quality Report -old,Product Dev,Quality Incoming - SBX,QualityReport/QualityIncoming-SBX,Add Comments (Snowflake - Quality Report Key Highlights),'ADD COMMENTS$'
Test QR,Product Dev,Quality Incoming - SBX,TestQR/QualityIncoming-SBX,Add Comments (Snowflake - Quality Report Key Highlights),'ADD COMMENTS$'
ICP - Draft Version,Marketing Dev,ICP - Draft,ICP-DraftVersion/ICP-Draft,ICP Data Source - Online Version,'ANUBHAV INDUSTRY$'
