WORKBOOK_NAME,PROJECT_NAME,DASHBOARD_NAME,DASHBOARD_PATH,DATASOURCE_NAME,TABLE_NAME
PO Lifecycle Dashboard_With Security,Archive,PO Lifecycle Dashboard,POLifecycleDashboard_WithSecurity/POLifecycleDashboard,PO Lifecycle,DIM_GL_ACCOUNTS
PO Lifecycle Dashboard_With Security,Archive,PO Lifecycle Dashboard,POLifecycleDashboard_WithSecurity/POLifecycleDashboard,PO Lifecycle,DIM_GL_ACCOUNTS
UAT - PO Lifecycle Dashboard,Procurement UAT,PO Lifecycle Dashboard,UAT-POLifecycleDashboard/POLifecycleDashboard,UAT - PO Lifecycle,DIM_GL_ACCOUNTS
UAT - PO Lifecycle Dashboard,Procurement UAT,PO Lifecycle Dashboard,UAT-POLifecycleDashboard/POLifecycleDashboard,UAT - PO Lifecycle,DIM_GL_ACCOUNTS
UAT - PO Lifecycle Dashboard,Archive,PO Lifecycle Dashboard,POLifecycleDashboard_16952185765550/POLifecycleDashboard,PO Lifecycle,DIM_GL_ACCOUNTS
UAT - PO Lifecycle Dashboard_New UI Version,Procurement UAT,PO Lifecycle Dashboard,UAT-POLifecycleDashboard_NewUIVersion/POLifecycleDashboard,PO Lifecycle,DIM_GL_ACCOUNTS
UAT - PO Lifecycle Dashboard_Without DLS,Archive,PO Lifecycle Dashboard,POLifecycleDashboard/POLifecycleDashboard,PO Lifecycle,DIM_GL_ACCOUNTS
Department Manager Dashboard - Test1,Archive,PO Overview,,PO Consolidated,DIM_GL_ACCOUNTS
Department Manager Dashboard - Test1,Archive,PO Overview,,PO Consolidated,DIM_GL_ACCOUNTS
PO Overview Dashboard,Procurement Dev,PO Overview,POOverviewDashboard/POOverview,PO Consolidated,DIM_GL_ACCOUNTS
PO Overview Dashboard,Procurement,PO Overview,POOverviewDashboard_16941730215160/POOverview,PO Consolidated,DIM_GL_ACCOUNTS
PO Overview Dashboard,Procurement Dev,PO Overview,POOverviewDashboard/POOverview,PO Consolidated,DIM_GL_ACCOUNTS
PO Overview Dashboard,Procurement,PO Overview,POOverviewDashboard_16941730215160/POOverview,PO Consolidated,DIM_GL_ACCOUNTS
PO Overview Dashboard - Redesign,Procurement Dev,PO Overview,POOverviewDashboard-Redesign/POOverview,PO Consolidated,DIM_GL_ACCOUNTS
PO Overview Dashboard - Redesign,Procurement Dev,PO Overview,POOverviewDashboard-Redesign/POOverview,PO Consolidated,DIM_GL_ACCOUNTS
PO Overview Dashboard_DEV,Archive,PO Overview,POOverviewDashboard_DEV/POOverview,PO Consolidated,DIM_GL_ACCOUNTS
PO Overview Dashboard_DEV,Archive,PO Overview,POOverviewDashboard_DEV/POOverview,PO Consolidated,DIM_GL_ACCOUNTS
PO Spend Analysis - Test,Archive,PO Overview,,PO Consolidated,DIM_GL_ACCOUNTS
PO Spend Analysis - Test,Archive,PO Overview,,PO Consolidated,DIM_GL_ACCOUNTS
UAT - PO Overview Dashboard,Procurement UAT,PO Overview,POOverviewDashboard_16922112623550/POOverview,PO Consolidated,DIM_GL_ACCOUNTS
UAT - PO Overview Dashboard,Procurement UAT,PO Overview,POOverviewDashboard_16922112623550/POOverview,UAT - PO Consolidated,DIM_GL_ACCOUNTS
Department Manager Dashboard - Test1,Archive,PO Procure To Pay,,Procure To Pay,DIM_GL_ACCOUNTS
Department Manager Dashboard - Test1,Archive,PO Procure To Pay,,Procure To Pay,DIM_GL_ACCOUNTS
PO Spend Analysis - Test,Archive,PO Procure To Pay,,Procure To Pay,DIM_GL_ACCOUNTS
PO Spend Analysis - Test,Archive,PO Procure To Pay,,Procure To Pay,DIM_GL_ACCOUNTS
Procure To Pay_DEV,Archive,PO Procure To Pay,ProcureToPay_DEV/POProcureToPay,Procure To Pay,DIM_GL_ACCOUNTS
Procure To Pay_DEV,Archive,PO Procure To Pay,ProcureToPay_DEV/POProcureToPay,Procure To Pay,DIM_GL_ACCOUNTS
UAT - Procure To Pay,Procurement UAT,PO Procure To Pay,ProcureToPay_16922179775760/POProcureToPay,UAT - Procure To Pay,DIM_GL_ACCOUNTS
UAT - Procure To Pay,Procurement UAT,PO Procure To Pay,ProcureToPay_16922179775760/POProcureToPay,Procure To Pay,DIM_GL_ACCOUNTS
Department Manager Dashboard - Test1,Archive,PO Procure To Pay Details,,Procure To Pay,DIM_GL_ACCOUNTS
Department Manager Dashboard - Test1,Archive,PO Procure To Pay Details,,Procure To Pay,DIM_GL_ACCOUNTS
PO Spend Analysis - Test,Archive,PO Procure To Pay Details,,Procure To Pay,DIM_GL_ACCOUNTS
PO Spend Analysis - Test,Archive,PO Procure To Pay Details,,Procure To Pay,DIM_GL_ACCOUNTS
Procure To Pay_DEV,Archive,PO Procure To Pay Details,ProcureToPay_DEV/POProcureToPayDetails,Procure To Pay,DIM_GL_ACCOUNTS
Procure To Pay_DEV,Archive,PO Procure To Pay Details,ProcureToPay_DEV/POProcureToPayDetails,Procure To Pay,DIM_GL_ACCOUNTS
UAT - Procure To Pay,Procurement UAT,PO Procure To Pay Details,ProcureToPay_16922179775760/POProcureToPayDetails,UAT - Procure To Pay,DIM_GL_ACCOUNTS
UAT - Procure To Pay,Procurement UAT,PO Procure To Pay Details,ProcureToPay_16922179775760/POProcureToPayDetails,Procure To Pay,DIM_GL_ACCOUNTS
Department Manager Dashboard - Test1,Archive,PO Receipt Details,,Purchase Receipt,DIM_GL_ACCOUNTS
Department Manager Dashboard - Test1,Archive,PO Receipt Details,,Purchase Receipt,DIM_GL_ACCOUNTS
PO Receipts,Procurement Dev,PO Receipt Details,POReceipts/POReceiptDetails,Purchase Receipt,DIM_GL_ACCOUNTS
PO Receipts,Archive,PO Receipt Details,POReceipts_16941740326750/POReceiptDetails,Purchase Receipt,DIM_GL_ACCOUNTS
PO Receipts,Procurement,PO Receipt Details,POReceipts_16941740839930/POReceiptDetails,Purchase Receipt,DIM_GL_ACCOUNTS
PO Receipts,Procurement,PO Receipt Details,POReceipts_16941740839930/POReceiptDetails,Purchase Receipt,DIM_GL_ACCOUNTS
PO Receipts,Archive,PO Receipt Details,POReceipts_16941740326750/POReceiptDetails,Purchase Receipt,DIM_GL_ACCOUNTS
PO Receipts,Procurement Dev,PO Receipt Details,POReceipts/POReceiptDetails,Purchase Receipt,DIM_GL_ACCOUNTS
PO Receipts_DEV,Archive,PO Receipt Details,POReceipts_DEV/POReceiptDetails,Purchase Receipt,DIM_GL_ACCOUNTS
PO Receipts_DEV,Archive,PO Receipt Details,POReceipts_DEV/POReceiptDetails,Purchase Receipt,DIM_GL_ACCOUNTS
PO Spend Analysis - Test,Archive,PO Receipt Details,,Purchase Receipt,DIM_GL_ACCOUNTS
PO Spend Analysis - Test,Archive,PO Receipt Details,,Purchase Receipt,DIM_GL_ACCOUNTS
UAT - PO Receipts,Procurement UAT,PO Receipt Details,POReceipts_16922123636910/POReceiptDetails,Purchase Receipt,DIM_GL_ACCOUNTS
UAT - PO Receipts,Procurement UAT,PO Receipt Details,POReceipts_16922123636910/POReceiptDetails,UAT - Purchase Receipt,DIM_GL_ACCOUNTS
Department Manager Dashboard - Test1,Archive,PO Receipts,,Purchase Receipt,DIM_GL_ACCOUNTS
Department Manager Dashboard - Test1,Archive,PO Receipts,,Purchase Receipt,DIM_GL_ACCOUNTS
PO Receipts,Procurement,PO Receipts,POReceipts_16941740839930/POReceipts,Purchase Receipt,DIM_GL_ACCOUNTS
PO Receipts,Archive,PO Receipts,POReceipts_16941740326750/POReceipts,Purchase Receipt,DIM_GL_ACCOUNTS
PO Receipts,Procurement,PO Receipts,POReceipts_16941740839930/POReceipts,Purchase Receipt,DIM_GL_ACCOUNTS
PO Receipts,Procurement Dev,PO Receipts,POReceipts/POReceipts,Purchase Receipt,DIM_GL_ACCOUNTS
PO Receipts,Archive,PO Receipts,POReceipts_16941740326750/POReceipts,Purchase Receipt,DIM_GL_ACCOUNTS
PO Receipts,Procurement Dev,PO Receipts,POReceipts/POReceipts,Purchase Receipt,DIM_GL_ACCOUNTS
PO Receipts_DEV,Archive,PO Receipts,POReceipts_DEV/POReceipts,Purchase Receipt,DIM_GL_ACCOUNTS
PO Receipts_DEV,Archive,PO Receipts,POReceipts_DEV/POReceipts,Purchase Receipt,DIM_GL_ACCOUNTS
PO Spend Analysis - Test,Archive,PO Receipts,,Purchase Receipt,DIM_GL_ACCOUNTS
PO Spend Analysis - Test,Archive,PO Receipts,,Purchase Receipt,DIM_GL_ACCOUNTS
UAT - PO Receipts,Procurement UAT,PO Receipts,POReceipts_16922123636910/POReceipts,UAT - Purchase Receipt,DIM_GL_ACCOUNTS
UAT - PO Receipts,Procurement UAT,PO Receipts,POReceipts_16922123636910/POReceipts,Purchase Receipt,DIM_GL_ACCOUNTS
Department Manager Dashboard - Test1,Archive,PO Requisition Details,,Purchase Requisitions,DIM_GL_ACCOUNTS
Department Manager Dashboard - Test1,Archive,PO Requisition Details,,Purchase Requisitions,DIM_GL_ACCOUNTS
PO Requisitions,Procurement Dev,PO Requisition Details,PORequisitions/PORequisitionDetails,Purchase Requisitions,DIM_GL_ACCOUNTS
PO Requisitions,Procurement,PO Requisition Details,PORequisitions_16941797001280/PORequisitionDetails,Purchase Requisitions,DIM_GL_ACCOUNTS
PO Requisitions,Procurement,PO Requisition Details,PORequisitions_16941797001280/PORequisitionDetails,Purchase Requisitions,DIM_GL_ACCOUNTS
PO Requisitions,Procurement Dev,PO Requisition Details,PORequisitions/PORequisitionDetails,Purchase Requisitions,DIM_GL_ACCOUNTS
PO Requisitions,Archive,PO Requisition Details,PORequisitions_16941796535470/PORequisitionDetails,Purchase Requisitions,DIM_GL_ACCOUNTS
PO Requisitions,Archive,PO Requisition Details,PORequisitions_16941796535470/PORequisitionDetails,UAT - Purchase Requisitions,DIM_GL_ACCOUNTS
PO Requisitions - Redesign,Procurement Dev,PO Requisition Details,PORequisitions-Redesign/PORequisitionDetails,Purchase Requisitions,DIM_GL_ACCOUNTS
PO Requisitions - Redesign,Procurement Dev,PO Requisition Details,PORequisitions-Redesign/PORequisitionDetails,Purchase Requisitions,DIM_GL_ACCOUNTS
PO Requisitions_DEV,Archive,PO Requisition Details,PORequisitions_DEV/PORequisitionDetails,Purchase Requisitions,DIM_GL_ACCOUNTS
PO Requisitions_DEV,Archive,PO Requisition Details,PORequisitions_DEV/PORequisitionDetails,Purchase Requisitions,DIM_GL_ACCOUNTS
PO Spend Analysis - Test,Archive,PO Requisition Details,,Purchase Requisitions,DIM_GL_ACCOUNTS
PO Spend Analysis - Test,Archive,PO Requisition Details,,Purchase Requisitions,DIM_GL_ACCOUNTS
UAT - PO Requisitions,Procurement UAT,PO Requisition Details,PORequisitions_16922158962630/PORequisitionDetails,Purchase Requisitions,DIM_GL_ACCOUNTS
UAT - PO Requisitions,Procurement UAT,PO Requisition Details,PORequisitions_16922158962630/PORequisitionDetails,UAT - Purchase Requisitions,DIM_GL_ACCOUNTS
Department Manager Dashboard - Test1,Archive,PO Requisitions,,Purchase Requisitions,DIM_GL_ACCOUNTS
Department Manager Dashboard - Test1,Archive,PO Requisitions,,Purchase Requisitions,DIM_GL_ACCOUNTS
PO Requisitions,Procurement Dev,PO Requisitions,PORequisitions/PORequisitions,Purchase Requisitions,DIM_GL_ACCOUNTS
PO Requisitions,Procurement,PO Requisitions,PORequisitions_16941797001280/PORequisitions,Purchase Requisitions,DIM_GL_ACCOUNTS
PO Requisitions,Procurement,PO Requisitions,PORequisitions_16941797001280/PORequisitions,Purchase Requisitions,DIM_GL_ACCOUNTS
PO Requisitions,Archive,PO Requisitions,PORequisitions_16941796535470/PORequisitions,Purchase Requisitions,DIM_GL_ACCOUNTS
PO Requisitions,Procurement Dev,PO Requisitions,PORequisitions/PORequisitions,Purchase Requisitions,DIM_GL_ACCOUNTS
PO Requisitions,Archive,PO Requisitions,PORequisitions_16941796535470/PORequisitions,UAT - Purchase Requisitions,DIM_GL_ACCOUNTS
PO Requisitions - Redesign,Procurement Dev,PO Requisitions,PORequisitions-Redesign/PORequisitions,Purchase Requisitions,DIM_GL_ACCOUNTS
PO Requisitions - Redesign,Procurement Dev,PO Requisitions,PORequisitions-Redesign/PORequisitions,Purchase Requisitions,DIM_GL_ACCOUNTS
PO Requisitions_DEV,Archive,PO Requisitions,PORequisitions_DEV/PORequisitions,Purchase Requisitions,DIM_GL_ACCOUNTS
PO Requisitions_DEV,Archive,PO Requisitions,PORequisitions_DEV/PORequisitions,Purchase Requisitions,DIM_GL_ACCOUNTS
PO Spend Analysis - Test,Archive,PO Requisitions,,Purchase Requisitions,DIM_GL_ACCOUNTS
PO Spend Analysis - Test,Archive,PO Requisitions,,Purchase Requisitions,DIM_GL_ACCOUNTS
UAT - PO Requisitions,Procurement UAT,PO Requisitions,PORequisitions_16922158962630/PORequisitions,Purchase Requisitions,DIM_GL_ACCOUNTS
UAT - PO Requisitions,Procurement UAT,PO Requisitions,PORequisitions_16922158962630/PORequisitions,UAT - Purchase Requisitions,DIM_GL_ACCOUNTS
Department Manager Dashboard - Test1,Archive,PO Spend Analysis,,PO Invoice,DIM_GL_ACCOUNTS
Department Manager Dashboard - Test1,Archive,PO Spend Analysis,,PO Invoice,DIM_GL_ACCOUNTS
PO Spend Analysis,Procurement Dev,PO Spend Analysis,POSpendAnalysis/POSpendAnalysis,PO Invoice,DIM_GL_ACCOUNTS
PO Spend Analysis,Procurement Dev,PO Spend Analysis,POSpendAnalysis/POSpendAnalysis,PO Invoice,DIM_GL_ACCOUNTS
PO Spend Analysis,Archive,PO Spend Analysis,POSpendAnalysis_16941752031920/POSpendAnalysis,PO Invoice,DIM_GL_ACCOUNTS
PO Spend Analysis,Archive,PO Spend Analysis,POSpendAnalysis_16941752031920/POSpendAnalysis,PO Invoice (2),DIM_GL_ACCOUNTS
PO Spend Analysis - Redesign,Procurement Dev,PO Spend Analysis,POSpendAnalysis-Redesign/POSpendAnalysis,PO Invoice,DIM_GL_ACCOUNTS
PO Spend Analysis - Redesign,Procurement Dev,PO Spend Analysis,POSpendAnalysis-Redesign/POSpendAnalysis,PO Invoice,DIM_GL_ACCOUNTS
PO Spend Analysis - Test,Archive,PO Spend Analysis,POSpendAnalysis-Test/POSpendAnalysis,PO Invoice,DIM_GL_ACCOUNTS
PO Spend Analysis - Test,Archive,PO Spend Analysis,POSpendAnalysis-Test/POSpendAnalysis,PO Invoice,DIM_GL_ACCOUNTS
PO Spend Analysis_DEV,Archive,PO Spend Analysis,POSpendAnalysis_DEV/POSpendAnalysis,PO Invoice,DIM_GL_ACCOUNTS
PO Spend Analysis_DEV,Archive,PO Spend Analysis,POSpendAnalysis_DEV/POSpendAnalysis,PO Invoice,DIM_GL_ACCOUNTS
UAT - PO Spend Analysis,Procurement UAT,PO Spend Analysis,POSpendAnalysis_16922196204840/POSpendAnalysis,PO Invoice,DIM_GL_ACCOUNTS
UAT - PO Spend Analysis,Procurement UAT,PO Spend Analysis,POSpendAnalysis_16922196204840/POSpendAnalysis,UAT - PO Invoice,DIM_GL_ACCOUNTS
Department Manager Dashboard - Test1,Archive,PO Spend Details,,PO Invoice,DIM_GL_ACCOUNTS
Department Manager Dashboard - Test1,Archive,PO Spend Details,,PO Invoice,DIM_GL_ACCOUNTS
PO Spend Analysis,Archive,PO Spend Details,POSpendAnalysis_16941752031920/POSpendDetails,PO Invoice (2),DIM_GL_ACCOUNTS
PO Spend Analysis,Archive,PO Spend Details,POSpendAnalysis_16941752031920/POSpendDetails,PO Invoice,DIM_GL_ACCOUNTS
PO Spend Analysis,Procurement Dev,PO Spend Details,POSpendAnalysis/POSpendDetails,PO Invoice,DIM_GL_ACCOUNTS
PO Spend Analysis,Procurement Dev,PO Spend Details,POSpendAnalysis/POSpendDetails,PO Invoice,DIM_GL_ACCOUNTS
PO Spend Analysis - Redesign,Procurement Dev,PO Spend Details,POSpendAnalysis-Redesign/POSpendDetails,PO Invoice,DIM_GL_ACCOUNTS
PO Spend Analysis - Redesign,Procurement Dev,PO Spend Details,POSpendAnalysis-Redesign/POSpendDetails,PO Invoice,DIM_GL_ACCOUNTS
PO Spend Analysis - Test,Archive,PO Spend Details,,PO Invoice,DIM_GL_ACCOUNTS
PO Spend Analysis - Test,Archive,PO Spend Details,,PO Invoice,DIM_GL_ACCOUNTS
PO Spend Analysis_DEV,Archive,PO Spend Details,POSpendAnalysis_DEV/POSpendDetails,PO Invoice,DIM_GL_ACCOUNTS
PO Spend Analysis_DEV,Archive,PO Spend Details,POSpendAnalysis_DEV/POSpendDetails,PO Invoice,DIM_GL_ACCOUNTS
UAT - PO Spend Analysis,Procurement UAT,PO Spend Details,POSpendAnalysis_16922196204840/POSpendDetails,PO Invoice,DIM_GL_ACCOUNTS
UAT - PO Spend Analysis,Procurement UAT,PO Spend Details,POSpendAnalysis_16922196204840/POSpendDetails,UAT - PO Invoice,DIM_GL_ACCOUNTS
PO Lifecycle Dashboard,Procurement,PO Trends,POLifecycleDashboard_16966194832140/POTrends,PO Lifecycle,DIM_GL_ACCOUNTS
PO Lifecycle Dashboard,Procurement,PO Trends,POLifecycleDashboard_16966194832140/POTrends,PO Lifecycle,DIM_GL_ACCOUNTS
PO Lifecycle Dashboard - New Security,Archive,PO Trends,POLifecycleDashboard_WithSecurity_v2/POTrends,PO Lifecycle - New Security,DIM_GL_ACCOUNTS
PO Lifecycle Dashboard - New Security,Procurement Dev,PO Trends,POLifecycleDashboard-NewSecurity/POTrends,PO Lifecycle - New Security,DIM_GL_ACCOUNTS
PO Lifecycle Dashboard - New Security,Archive,PO Trends,POLifecycleDashboard_WithSecurity_v2/POTrends,PO Lifecycle - New Security,DIM_GL_ACCOUNTS
PO Lifecycle Dashboard - New Security,Procurement Dev,PO Trends,POLifecycleDashboard-NewSecurity/POTrends,PO Lifecycle - New Security,DIM_GL_ACCOUNTS
PO Lifecycle Dashboard_All Data(By Creation Date),Archive,PO Trends,POLifecycleDashboard_AllDataByCreationDate_16994576653310/POTrends,PO Lifecycle_All Data,DIM_GL_ACCOUNTS
PO Lifecycle Dashboard_All Data(By Creation Date),Archive,PO Trends,POLifecycleDashboard_AllDataByCreationDate_16994576653310/POTrends,PO Lifecycle_All Data,DIM_GL_ACCOUNTS
PO Lifecycle Dashboard_With Security,Archive,PO Trends,POLifecycleDashboard_WithSecurity/POTrends,PO Lifecycle,DIM_GL_ACCOUNTS
PO Lifecycle Dashboard_With Security,Archive,PO Trends,POLifecycleDashboard_WithSecurity/POTrends,PO Lifecycle,DIM_GL_ACCOUNTS
PO Lifecycle Dashboard,Procurement,Pending Receipts,POLifecycleDashboard_16966194832140/PendingReceipts,PO Lifecycle,DIM_GL_ACCOUNTS
PO Lifecycle Dashboard,Procurement,Pending Receipts,POLifecycleDashboard_16966194832140/PendingReceipts,PO Lifecycle,DIM_GL_ACCOUNTS
PO Lifecycle Dashboard - New Security,Archive,Pending Receipts,POLifecycleDashboard_WithSecurity_v2/PendingReceipts,PO Lifecycle - New Security,DIM_GL_ACCOUNTS
PO Lifecycle Dashboard - New Security,Archive,Pending Receipts,POLifecycleDashboard_WithSecurity_v2/PendingReceipts,PO Lifecycle - New Security,DIM_GL_ACCOUNTS
PO Lifecycle Dashboard - New Security,Procurement Dev,Pending Receipts,POLifecycleDashboard-NewSecurity/PendingReceipts,PO Lifecycle - New Security,DIM_GL_ACCOUNTS
PO Lifecycle Dashboard - New Security,Procurement Dev,Pending Receipts,POLifecycleDashboard-NewSecurity/PendingReceipts,PO Lifecycle - New Security,DIM_GL_ACCOUNTS
PO Lifecycle Dashboard_With Security,Archive,Pending Receipts,POLifecycleDashboard_WithSecurity/PendingReceipts,PO Lifecycle,DIM_GL_ACCOUNTS
PO Lifecycle Dashboard_With Security,Archive,Pending Receipts,POLifecycleDashboard_WithSecurity/PendingReceipts,PO Lifecycle,DIM_GL_ACCOUNTS
Procurement Dashboard for Department Heads,Archive,Procurement Dashboard for Department Heads,ProcurementDashboardforDepartmentHeads_16941765887000/ProcurementDashboardforDepartmentHeads,Purchase Requisitions,DIM_GL_ACCOUNTS
Procurement Dashboard for Department Heads,Archive,Procurement Dashboard for Department Heads,ProcurementDashboardforDepartmentHeads_16941765887000/ProcurementDashboardforDepartmentHeads,Purchase Requisitions,DIM_GL_ACCOUNTS
Procurement Dashboard for Department Heads,Procurement Dev,Procurement Dashboard for Department Heads,DepartmentManagerDashboard/ProcurementDashboardforDepartmentHeads,Purchase Requisitions,DIM_GL_ACCOUNTS
Procurement Dashboard for Department Heads,Procurement,Procurement Dashboard for Department Heads,ProcurementDashboardforDepartmentHeads_16941766300160/ProcurementDashboardforDepartmentHeads,PO Invoice,DIM_GL_ACCOUNTS
Procurement Dashboard for Department Heads,Procurement,Procurement Dashboard for Department Heads,ProcurementDashboardforDepartmentHeads_16941766300160/ProcurementDashboardforDepartmentHeads,Purchase Requisitions,DIM_GL_ACCOUNTS
Procurement Dashboard for Department Heads,Procurement,Procurement Dashboard for Department Heads,ProcurementDashboardforDepartmentHeads_16941766300160/ProcurementDashboardforDepartmentHeads,PO Invoice,DIM_GL_ACCOUNTS
Procurement Dashboard for Department Heads,Archive,Procurement Dashboard for Department Heads,ProcurementDashboardforDepartmentHeads_16941765887000/ProcurementDashboardforDepartmentHeads,PO Invoice,DIM_GL_ACCOUNTS
Procurement Dashboard for Department Heads,Procurement Dev,Procurement Dashboard for Department Heads,DepartmentManagerDashboard/ProcurementDashboardforDepartmentHeads,PO Invoice,DIM_GL_ACCOUNTS
Procurement Dashboard for Department Heads,Procurement Dev,Procurement Dashboard for Department Heads,DepartmentManagerDashboard/ProcurementDashboardforDepartmentHeads,Purchase Requisitions,DIM_GL_ACCOUNTS
Procurement Dashboard for Department Heads,Archive,Procurement Dashboard for Department Heads,ProcurementDashboardforDepartmentHeads_16941765887000/ProcurementDashboardforDepartmentHeads,PO Invoice,DIM_GL_ACCOUNTS
Procurement Dashboard for Department Heads,Procurement,Procurement Dashboard for Department Heads,ProcurementDashboardforDepartmentHeads_16941766300160/ProcurementDashboardforDepartmentHeads,Purchase Requisitions,DIM_GL_ACCOUNTS
Procurement Dashboard for Department Heads,Procurement Dev,Procurement Dashboard for Department Heads,DepartmentManagerDashboard/ProcurementDashboardforDepartmentHeads,PO Invoice,DIM_GL_ACCOUNTS
Procurement Dashboard for Department Heads_DEV,Archive,Procurement Dashboard for Department Heads,ProcurementDashboardforDepartmentHeads_DEV/ProcurementDashboardforDepartmentHeads,PO Invoice,DIM_GL_ACCOUNTS
Procurement Dashboard for Department Heads_DEV,Archive,Procurement Dashboard for Department Heads,ProcurementDashboardforDepartmentHeads_DEV/ProcurementDashboardforDepartmentHeads,Purchase Requisitions,DIM_GL_ACCOUNTS
Procurement Dashboard for Department Heads_DEV,Archive,Procurement Dashboard for Department Heads,ProcurementDashboardforDepartmentHeads_DEV/ProcurementDashboardforDepartmentHeads,PO Invoice,DIM_GL_ACCOUNTS
Procurement Dashboard for Department Heads_DEV,Archive,Procurement Dashboard for Department Heads,ProcurementDashboardforDepartmentHeads_DEV/ProcurementDashboardforDepartmentHeads,Purchase Requisitions,DIM_GL_ACCOUNTS
Department Manager Dashboard - Test1,Archive,Purchase Invoice,,Procure To Pay,DIM_GL_ACCOUNTS
Department Manager Dashboard - Test1,Archive,Purchase Invoice,,PO Invoice,DIM_GL_ACCOUNTS
Department Manager Dashboard - Test1,Archive,Purchase Invoice,,Procure To Pay,DIM_GL_ACCOUNTS
Department Manager Dashboard - Test1,Archive,Purchase Invoice,,PO Invoice,DIM_GL_ACCOUNTS
PO Spend Analysis - Test,Archive,Purchase Invoice,,Procure To Pay,DIM_GL_ACCOUNTS
PO Spend Analysis - Test,Archive,Purchase Invoice,,Procure To Pay,DIM_GL_ACCOUNTS
PO Spend Analysis - Test,Archive,Purchase Invoice,,PO Invoice,DIM_GL_ACCOUNTS
PO Spend Analysis - Test,Archive,Purchase Invoice,,PO Invoice,DIM_GL_ACCOUNTS
Purchase Invoice,Procurement Dev,Purchase Invoice,PurchaseInvoice/PurchaseInvoice,PO Invoice,DIM_GL_ACCOUNTS
Purchase Invoice,Archive,Purchase Invoice,PurchaseInvoice_16941776575080/PurchaseInvoice,PO Invoice,DIM_GL_ACCOUNTS
Purchase Invoice,Procurement Dev,Purchase Invoice,PurchaseInvoice/PurchaseInvoice,PO Invoice,DIM_GL_ACCOUNTS
Purchase Invoice,Procurement Dev,Purchase Invoice,PurchaseInvoice/PurchaseInvoice,PO Invoice,DIM_GL_ACCOUNTS
Purchase Invoice,Archive,Purchase Invoice,PurchaseInvoice_16941776575080/PurchaseInvoice,PO Invoice,DIM_GL_ACCOUNTS
Purchase Invoice,Procurement,Purchase Invoice,PurchaseInvoice_16941777059700/PurchaseInvoice,PO Invoice,DIM_GL_ACCOUNTS
Purchase Invoice,Procurement,Purchase Invoice,PurchaseInvoice_16941777059700/PurchaseInvoice,PO Invoice,DIM_GL_ACCOUNTS
Purchase Invoice_DEV,Archive,Purchase Invoice,PurchaseInvoice_DEV/PurchaseInvoice,PO Invoice,DIM_GL_ACCOUNTS
Purchase Invoice_DEV,Archive,Purchase Invoice,PurchaseInvoice_DEV/PurchaseInvoice,PO Invoice,DIM_GL_ACCOUNTS
UAT - Purchase Invoice,Procurement UAT,Purchase Invoice,PurchaseInvoice_16922210512890/PurchaseInvoice,PO Invoice,DIM_GL_ACCOUNTS
UAT - Purchase Invoice,Procurement UAT,Purchase Invoice,PurchaseInvoice_16922210512890/PurchaseInvoice,UAT - PO Invoice,DIM_GL_ACCOUNTS
Purchase Invoice,Archive,Purchase Invoice Details ,PurchaseInvoice_16941776575080/PurchaseInvoiceDetails,PO Invoice,DIM_GL_ACCOUNTS
Purchase Invoice,Procurement Dev,Purchase Invoice Details ,PurchaseInvoice/PurchaseInvoiceDetails,PO Invoice,DIM_GL_ACCOUNTS
Purchase Invoice,Procurement,Purchase Invoice Details ,PurchaseInvoice_16941777059700/PurchaseInvoiceDetails,PO Invoice,DIM_GL_ACCOUNTS
Purchase Invoice,Procurement Dev,Purchase Invoice Details ,PurchaseInvoice/PurchaseInvoiceDetails,PO Invoice,DIM_GL_ACCOUNTS
Purchase Invoice,Archive,Purchase Invoice Details ,PurchaseInvoice_16941776575080/PurchaseInvoiceDetails,PO Invoice,DIM_GL_ACCOUNTS
Purchase Invoice,Procurement,Purchase Invoice Details ,PurchaseInvoice_16941777059700/PurchaseInvoiceDetails,PO Invoice,DIM_GL_ACCOUNTS
Purchase Invoice,Procurement Dev,Purchase Invoice Details ,PurchaseInvoice/PurchaseInvoiceDetails,PO Invoice,DIM_GL_ACCOUNTS
Purchase Invoice_DEV,Archive,Purchase Invoice Details ,PurchaseInvoice_DEV/PurchaseInvoiceDetails,PO Invoice,DIM_GL_ACCOUNTS
Purchase Invoice_DEV,Archive,Purchase Invoice Details ,PurchaseInvoice_DEV/PurchaseInvoiceDetails,PO Invoice,DIM_GL_ACCOUNTS
UAT - Purchase Invoice,Procurement UAT,Purchase Invoice Details ,PurchaseInvoice_16922210512890/PurchaseInvoiceDetails,PO Invoice,DIM_GL_ACCOUNTS
UAT - Purchase Invoice,Procurement UAT,Purchase Invoice Details ,PurchaseInvoice_16922210512890/PurchaseInvoiceDetails,UAT - PO Invoice,DIM_GL_ACCOUNTS
UAT - PO Lifecycle Dashboard,Procurement UAT,Purchase Order Counts By Status,UAT-POLifecycleDashboard/PurchaseOrderCountsByStatus,UAT - PO Lifecycle,DIM_GL_ACCOUNTS
UAT - PO Lifecycle Dashboard,Archive,Purchase Order Counts By Status,POLifecycleDashboard_16952185765550/PurchaseOrderCountsByStatus,PO Lifecycle,DIM_GL_ACCOUNTS
